Title,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Year,Client,Location,Introduction,Background,Details,Gear,Featured Image,Marquee Image - 1,Marquee Image - 2,Marquee Image - 3,Small Image Section,Large Image Section,Small Single Image,Large Single Image,Sort Order,Has Collaborators?,Collaborator 1 - Work Title,Collaborator 1 - Name,Collaborator 2 - Work Title,Collaborator 2 - Name,Collaborator 3 - Work Title,Collaborator 3 - Name,Next Project
Telegraph Cove,telegraph-cove,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,69b4925fc0622270d93b2bc4,false,true,Mon Oct 27 2025 18:01:51 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:36:16 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:31:49 GMT+0000 (Coordinated Universal Time),A collection of stunning landscape photographs taken throughout the year.,2023,Vancouver Island,Vancouver Island,"Telegraph Cove is a historic, stilt-built boardwalk village on the eastern coast of Northern Vancouver Island, British Columbia.","<p>Telegraph Cove is a historic, stilt-built boardwalk village on the eastern coast of Northern Vancouver Island, British Columbia.</p>","<p id="""">Shot across various locations, the series uses soft colour palettes, gentle contrasts, and intimate compositions to create a warm, reflective atmosphere reminiscent of old memories.</p>",DJI mini 2,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c15_feat__days.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c22_img-marq__days--1.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c23_img__scandi--4.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c24_img-marq__days--3.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c18_img__scandi--5.webp; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c1b_img__scandi--6.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c26_img__scandi--3.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c23_img__scandi--4.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c11_img__scandi--1.webp,5,false,Project Lead,Julian Kennedy,Studio Assistant,John Doe,Retoucher,Jane Smith,ucluelet
Bala,bala,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,69b4925fc0622270d93b2be5,false,false,Mon Oct 27 2025 18:01:51 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:31:50 GMT+0000 (Coordinated Universal Time),Thu Aug 27 2026 20:59:19 GMT+0000 (Coordinated Universal Time),"Bala is a charming lakeside community in the township municipality of Muskoka Lakes, within the District of Muskoka in Central Ontario, Canada.",2022,Personal Projects,"Porter Lake, Ontario","Bala is a charming lakeside community in the township municipality of Muskoka Lakes, within the District of Muskoka in Central Ontario, Canada.","<p>Known as the Cranberry Capital of Ontario, Bala is famous for its cranberry farms, including Johnston’s Cranberry Marsh and Muskoka Lakes Farm &amp; Winery, and hosts the annual Bala Cranberry Festival each fall.</p>","<p>Known as the Cranberry Capital of Ontario, Bala is famous for its cranberry farms, including Johnston’s Cranberry Marsh and Muskoka Lakes Farm &amp; Winery, and hosts the annual Bala Cranberry Festival each fall.</p>",DJI Mini 2,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5f812cd3769df39213cad_bala8.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5f88ce877c65b132a50c0_Bala6_bestframeview.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5f8449e16de946d024e5b_bala2.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5ff7b176c2e92459509f6_bala4.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fd4dbdf83c9ba5647973_Bala%20out.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fd7c80404b5b61bc3a0e_Bala%20local.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fec43121720deaedc5f5_bala_10.jpg; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fde53ca1a998b23c9b01_bala5_city_locational.jpg; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fdb7786cc7a599f56300_bala3.jpg; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5f8449e16de946d024e5b_bala2.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5f88ce877c65b132a50c0_Bala6_bestframeview.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5fe4aecd7e3e83c447d49_Bala1.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5ff7b176c2e92459509f6_bala4.jpg,4,false,Project Lead,Julian Kennedy,Studio Assistant,John Doe,Retoucher,Jane Smith,telegraph-cove
Sandbanks,sandbanks-provincial-park,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,69b4925fc0622270d93b2c03,false,false,Mon Oct 27 2025 18:01:51 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:30:34 GMT+0000 (Coordinated Universal Time),Thu Aug 27 2026 20:59:19 GMT+0000 (Coordinated Universal Time),Sandbanks Provincial Park,2021," Prince Edward County, ON",Lake Ontario,"Sandbanks Provincial Park is located in Prince Edward County, Ontario, along the northern shore of Lake Ontario.","<p>Sandbanks Provincial Park is located in Prince Edw<em>ar</em>d County, Ontario, along the northern shore of Lake Ontario.</p><p>Edit the year to say ""2021, 2023.""</p>","<p>Sandbanks is renowned for containing the world’s largest freshwater bay-mouth barrier dune formation, featuring shifting sand dunes that reach 25 meters high.</p>",DJI Mini 2,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ce26a6c2f048df0565119_DJI_0076_%20optimized.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6cf0d6e7d24b88f94e6d64_PXL_20250919_225635799.RAW-01.COVER.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6cf5be83afbf7cbf26a79e_fl_optimized_DJI_0458%20(1).jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ce8389d1cf596a5bc244b_DJI_0434.JPG,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ceeff546e2d5045f9cbc3_Sanbanks%20out.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ceeff95c34c5adf0e8e01_Sandbanks%20in.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6cf72b420d474b4d38580e_fl_2DJI_0434.JPG; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6cf73d605a11f8bfa89a41_optimized_DJI_0459%20(1).jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ce7fc7a1768a3e99d79af_Compressed_PXL_20250920_225221457.RAW-01.COVER%20(1).jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6ce77c8141f003ca9bff5e_PXL_20250919_230151081.RAW-01.COVER.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/6a6cf3eeda15691eeddf714a_PXL_20250919_225634629.RAW-01.COVER.jpg,3,false,Project Lead,Julian Kennedy,Studio Assistant,John Doe,Retoucher,Jane Smith,bala
Kye Bay,kye-bay,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,69b4925fc0622270d93b2c0e,false,false,Mon Oct 27 2025 18:01:51 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:30:05 GMT+0000 (Coordinated Universal Time),Mon Aug 03 2026 13:30:05 GMT+0000 (Coordinated Universal Time),"Kye Bay is a scenic beachfront destination located on the eastern coast of Vancouver Island, near Comox, British Columbia",2023,"Comox, BC",Vancouver Island,"Comox is a seaside town on the east coast of Vancouver Island, British Columbia.","<p>Kye Bay is a scenic beachfront destination located on the eastern coast of Vancouver Island, near Comox, British Columbia</p>","<p>Kye bay features shallow tidal pools teeming with marine life such as crabs, starfish, and sand dollars.</p>",DJI Mini 2,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5d5a461e72ad402284a91_DJI_0370%20-%20frame%20at%200m4s.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e6506e43ec9f5ff7c8aa_Kye%20bay%20et%20al%20(1).jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e7a308df55eb14a45c18_P2%20Kye%20bay%20v1.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5d852bb3e79b4d301d9e2_cropped1_PXL_20250824_030254265.PANO.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e9487210db702f1abbcb_Kye%20bay%20location%20zommed%20out2026-03-14%20190234.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5ff1cfad4bfdd8eed9a90_Kye%20bay%20zoomed%20in%20NEW%20Image.png; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e81c9e16de946d011e91_P3%20kye%20bay%20v1.jpg; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e7a308df55eb14a45c18_P2%20Kye%20bay%20v1.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5d852bb3e79b4d301d9e2_cropped1_PXL_20250824_030254265.PANO.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5d5a461e72ad402284a91_DJI_0370%20-%20frame%20at%200m4s.jpg,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b5e6ff9e16de946d0109af_v6Kye%20bay%20et%20al%20(2).jpg,2,false,Project Lead,Julian Kennedy,Studio Assistant,John Doe,Retoucher,Jane Smith,sandbanks-provincial-park
Ucluelet,ucluelet,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,69b4925fc0622270d93b2c0f,false,false,Mon Oct 27 2025 18:01:51 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:51:56 GMT+0000 (Coordinated Universal Time),Sat Aug 01 2026 01:04:45 GMT+0000 (Coordinated Universal Time),Creating impactful images for brands.,2024,Various Brands,"Tofino, Ucluelet, Port Renfrew",This project focuses on commercial photography aimed at enhancing brand visibility.,"<p id="""">A quiet journey through the landscapes of Scandinavia, capturing the mood, light, and simplicity that define the North. These photographs explore the region’s unique blend of vast nature, calm cities, and atmospheric moments.</p>","<p id="""">Shot across Sweden, Norway, and Finland, this series focuses on minimal compositions, soft tones, and everyday scenes that reveal the understated beauty of Nordic life.</p>",Canon EOS R6,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c11_img__scandi--1.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c16_img-marq__scandi--1.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c17_img-marq__scandi--2.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c18_img__scandi--5.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c18_img__scandi--5.webp; https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c1b_img__scandi--6.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c25_img__scandi--2.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c23_img__scandi--4.webp,https://cdn.prod.website-files.com/69b4925fc0622270d93b2b9b/69b4925fc0622270d93b2c26_img__scandi--3.webp,1,true,Project Lead,Julian Kennedy,Studio Assistant,John Doe,Retoucher,Jane Smith,kye-bay
Comox,comox,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,6a6cfab939089282227cd754,false,true,Fri Jul 31 2026 19:42:49 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:43:47 GMT+0000 (Coordinated Universal Time),,,,,"Med - Comox (Comox lake, Filberg Park, Goose Spit)",,"<p>Med - Comox (Comox lake, Filberg Park, Goose Spit)</p>",,,,,,,,,,,6,false,,,,,,,telegraph-cove
Tofino,tofino,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,6a6cfb2f893eee8df67620e8,false,true,Fri Jul 31 2026 19:44:47 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:44:47 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,,,,,false,,,,,,,
San Josef Bay,san-josef-bay,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,6a6cfb8519764ae7d544f172,false,true,Fri Jul 31 2026 19:46:13 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:46:13 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,,,,,false,,,,,,,
Scarborough Bluffs,scarborough-bluffs,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,6a6cfbb0acc4faa12cc783a2,false,true,Fri Jul 31 2026 19:46:56 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:46:56 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,,,,,false,,,,,,,
Campbell River,elk-falls-campbell-river,69b4925fc0622270d93b2b9e,69b4925fc0622270d93b2b80,6a6cfbeb19764ae7d5452a6a,false,true,Fri Jul 31 2026 19:47:55 GMT+0000 (Coordinated Universal Time),Fri Jul 31 2026 19:47:55 GMT+0000 (Coordinated Universal Time),,,,,,,,,,,,,,,,,,,false,,,,,,,
